damagearea,endday,endmonth,endyear,firecause,locbunji,locdong,locgungu,locmenu,locsi,startday,startdayofweek,startmonth,starttime,startyear
0.04,27,11,2022,쓰레기소각,산210,속사,양주,영북,강원,27,일요일,11,11:44:00,2022
0.01,27,11,2022,입산자실화,산66,교동,강릉,웅양,울산,27,일요일,11,11:43:00,2022
0.01,27,11,2022,기타,산59-12,어성전,완주,봉양,강원,27,일요일,11,10:50:00,2022
0.06,27,11,2022,담뱃불실화,산29-1,동상,천안 동남,화천,부산,27,일요일,11,05:25:00,2022
0.01,26,11,2022,입산자실화,산66-5,울대,남양주,연곡,경기,26,토요일,11,11:50:00,2022
1,26,11,2022,기타,산188-2외7,대전,양평,산내,강원,25,금요일,11,23:43:00,2022
3,28,11,2022,기타,산71-1,구제,양평,가남,전북,25,금요일,11,19:00:00,2022
0.16,24,11,2022,건축물화재비화,산95-1,구도,공주,진부,충남,23,수요일,11,21:50:00,2022
0.5,23,11,2022,기타,산326-29,월문,화성,흥천,경기,23,수요일,11,14:29:00,2022
1.5,21,11,2022,기타,산139,금왕,울주,둔포,경기,20,일요일,11,20:11:00,2022
0.1,20,11,2022,담뱃불실화,산129,연수,문경,하청,경기,20,일요일,11,12:58:00,2022
0.01,19,11,2022,입산자실화,산50,상왕,의령,송산,충남,19,토요일,11,16:12:00,2022
0.06,19,11,2022,기타,산54-3,노하,서천,동이,경기,19,토요일,11,10:48:00,2022
0.5,15,11,2022,입산자실화,산83,금곡,의령,남포,울산,15,화요일,11,12:24:00,2022
0.02,12,11,2022,쓰레기소각,산18,생달,경주,용주,경북,12,토요일,11,17:41:00,2022
0.4,12,11,2022,쓰레기소각,산124,산북,청송,갈말,경남,12,토요일,11,10:43:00,2022
0.01,11,11,2022,기타,산3-30,판교,보령,서,충남,11,금요일,11,12:49:00,2022
0.2,10,11,2022,입산자실화,산3,청계,과천,추부,경남,10,목요일,11,22:16:00,2022
0.03,10,11,2022,기타,산106-3,안계,김제,마령,경북,10,목요일,11,16:10:00,2022
0.5,10,11,2022,기타,산60-1,월외,고성,영귀미,경북,10,목요일,11,10:42:00,2022
0.06,10,11,2022,기타,산18-1,송학,진주,백석,충남,10,목요일,11,04:38:00,2022
0.2,08,11,2022,기타,산23,관문,완도,화도,경기,08,화요일,11,17:26:00,2022
0.02,08,11,2022,입산자실화,산9,삼봉,울주,미산,전북,08,화요일,11,12:51:00,2022
0.01,07,11,2022,건축물화재비화,산8,도전,거제,남산,경남,07,월요일,11,14:03:00,2022
0.1,07,11,2022,농산부산물소각,산56-7,운천,은평,덕양,경남,07,월요일,11,13:18:00,2022
0.05,06,11,2022,입산자실화,산503-1,총동,영양,와부,전남,06,일요일,11,15:13:00,2022
0.01,06,11,2022,입산자실화,산86-2,화산,안동,점동,울산,06,일요일,11,15:02:00,2022
0.2,06,11,2022,입산자실화,산80-94,가베,군위,간성,경남,06,일요일,11,12:50:00,2022
0.3,05,11,2022,입산자실화,산42-1,불광,유성,소초,서울,05,토요일,11,14:32:00,2022
0.8,06,11,2022,입산자실화,산51,당,기장,북내,경북,05,토요일,11,13:59:00,2022
0.02,04,11,2022,입산자실화,산217,오천,산청,방산,경북,04,금요일,11,15:21:00,2022
0.5,04,11,2022,기타,산25-1,봉산,함양,영덕,경북,04,금요일,11,07:20:00,2022
0.01,03,11,2022,기타,산53-4,성북,신안,남정,대전,03,목요일,11,13:00:00,2022
0.03,03,11,2022,농산부산물소각,595.0,청강,광산,생비량,부산,03,목요일,11,11:37:00,2022
0.01,03,11,2022,농산부산물소각,산18,양전,안동,두동,경남,03,목요일,11,09:40:00,2022
0.01,02,11,2022,기타,산72,손곡,남양주,남성,경남,02,수요일,11,18:38:00,2022
0.02,02,11,2022,쓰레기소각,89-1,가릉,포천,진상,전남,02,수요일,11,15:48:00,2022
0.02,02,11,2022,기타,산37,삼거,나주,도산,광주,02,수요일,11,15:11:00,2022
0.05,02,11,2022,입산자실화,산38-1,천지,광산,염산,경북,02,수요일,11,14:11:00,2022
1.48,02,11,2022,입산자실화,산39,용암,담양,탄현,경기,02,수요일,11,06:20:00,2022
0.03,01,11,2022,입산자실화,산190,화현,양평,광적,경기,01,화요일,11,22:00:00,2022
0.05,01,11,2022,담뱃불실화,산316-1,신광,김천,장관,전남,01,화요일,11,15:23:00,2022
0.04,30,10,2022,기타,산37,삼거,신안,사곡,광주,30,일요일,10,15:02:00,2022
0.04,30,10,2022,쓰레기소각,산45,운산,진주,진량,전남,30,일요일,10,12:47:00,2022
0.01,30,10,2022,입산자실화,119.0,반곡,합천,남,세종,30,일요일,10,07:05:00,2022
0.3,29,10,2022,입산자실화,산6,향소,거제,명석,경기,29,토요일,10,11:07:00,2022
0.01,28,10,2022,기타,산116,무안,진주,외남,경북,28,금요일,10,18:21:00,2022
0.1,28,10,2022,기타,215-8,오,정선,의신,전남,28,금요일,10,12:53:00,2022
0.1,27,10,2022,기타,산150,주악,창녕,영남,경남,27,목요일,10,12:54:00,2022
0.01,26,10,2022,농산부산물소각,산46,먹촌,영덕,판교,경남,26,수요일,10,10:39:00,2022
0.01,25,10,2022,입산자실화,산6-27,구명,순천,오수,경남,25,화요일,10,14:14:00,2022
0.01,25,10,2022,기타,산150,주악,양산,원동,경남,25,화요일,10,07:57:00,2022
0.1,22,10,2022,담뱃불실화,산64,도전,광산,석문,강원,22,토요일,10,10:20:00,2022
0.1,21,10,2022,입산자실화,산6,송현,북,조리,경남,21,금요일,10,03:14:00,2022
0.3,20,10,2022,기타,산106-2,축산,울주,풍세,경북,20,목요일,10,15:38:00,2022
0.3,20,10,2022,입산자실화,산197-1,학구,달성,탄천,전남,20,목요일,10,12:27:00,2022
0.05,20,10,2022,기타,산47-1,소석,달서,송동,경남,20,목요일,10,11:26:00,2022
0.1,19,10,2022,기타,산56-11,진곡,나주,서북,광주,19,수요일,10,15:13:00,2022
0.01,19,10,2022,입산자실화,산36-2,태전,양산,대덕,대구,19,수요일,10,13:40:00,2022
0.01,19,10,2022,입산자실화,산13,가천,삼척,화개,울산,19,수요일,10,12:38:00,2022
0.01,19,10,2022,입산자실화,산7-2,무등,양양,청천,대구,19,수요일,10,10:57:00,2022
0.01,18,10,2022,입산자실화,산38-4,본,산청,서,대구,18,화요일,10,19:02:00,2022
0.1,17,10,2022,담뱃불실화,산112,광촌,순천,동남,전남,17,월요일,10,12:41:00,2022
0.1,16,10,2022,입산자실화,산57-5,삼호,김천,금강송,경남,16,일요일,10,15:48:00,2022
0.04,02,10,2022,기타,산379,임원,원주,예안,강원,02,일요일,10,12:38:00,2022
0.01,01,10,2022,기타,산75,용천,해남,죽왕,강원,01,토요일,10,11:47:00,2022
0.01,27,09,2022,입산자실화,산69,범학,익산,오창,경남,27,화요일,09,14:52:00,2022
0.01,27,09,2022,입산자실화,산34-1,요곡,홍천,보개,전남,27,화요일,09,13:48:00,2022
0.09,27,09,2022,기타,산90,어전,완도,주덕,경북,27,화요일,09,12:46:00,2022
0.01,24,09,2022,기타,산35,학곡,남원,죽산,강원,24,토요일,09,15:23:00,2022
0.3,24,09,2022,입산자실화,산2번지외2필지,백포,부여,진원,전남,23,금요일,09,21:10:00,2022
0.2,22,09,2022,기타,산33,용화,옥천,서원,전북,22,목요일,09,16:32:00,2022
0.12,22,09,2022,기타,산34-12,자온,청양,풍양,강원,22,목요일,09,14:48:00,2022
0.1,22,09,2022,쓰레기소각,산178외2필지,총동,해남,임실,전남,22,목요일,09,14:11:00,2022
0.35,21,09,2022,입산자실화,산1-1,도룡,춘천,몽탄,전북,21,수요일,09,17:38:00,2022
0.03,21,09,2022,기타,산166-1,만지,화성,파천,충남,21,수요일,09,16:03:00,2022
0.2,15,09,2022,입산자실화,산52,용촌,산청,가야,충북,15,목요일,09,14:30:00,2022
0.1,28,07,2022,입산자실화,산18-23,적누,횡성,선남,충남,28,목요일,07,15:54:00,2022
0.3,01,04,2023,기타,산168-5,백호,화성,벌교,전남,01,토요일,04,16:40:00,2023
0.26,01,04,2023,쓰레기소각,산47,고탄,연천,송해,강원,01,토요일,04,13:44:00,2023
0.33,02,04,2023,쓰레기소각,626-2,정문,평창,옥산,경기,01,토요일,04,12:46:00,2023
0.1,01,04,2023,기타,산111,대포,포천,강진,경남,01,토요일,04,11:22:00,2023
0.7,30,03,2023,기타,산104,신대,거창,화남,강원,30,목요일,03,16:07:00,2023
0.11,30,03,2023,기타,산74-9,야목,서,금광,경기,30,목요일,03,15:00:00,2023
0.3,30,03,2023,기타,산50,상,제천,서,경기,30,목요일,03,14:39:00,2023
0.02,30,03,2023,기타,산16,하진부,화천,대강,강원,30,목요일,03,14:32:00,2023
29,03,04,2023,담뱃불실화,산25,운천,강릉,화도,경기,30,목요일,03,14:17:00,2023
0.05,30,03,2023,기타,산117-1,군암,경주,이양,경남,30,목요일,03,13:25:00,2023
0.33,30,03,2023,기타,산76-6,왕길,여주,삼계,인천,30,목요일,03,13:15:00,2023
21,31,03,2023,기타,산96-2,명도,평창,서석,충북,30,목요일,03,13:04:00,2023
68,01,04,2023,기타,산70,중,여주,남양,강원,30,목요일,03,12:47:00,2023
0.4,30,03,2023,기타,산26,동덕,아산,고수,강원,30,목요일,03,12:00:00,2023
0.7,30,03,2023,기타,158.0,일부,거제,미탄,경북,30,목요일,03,11:13:00,2023
0.02,30,03,2023,기타,산14-2,대산,당진,신서,경기,30,목요일,03,10:08:00,2023
0.3,29,03,2023,입산자실화,산16,하진부,옥천,유치,강원,29,수요일,03,16:00:00,2023
0.72,29,03,2023,농산부산물소각,산6-1,다대,보령,점암,경기,29,수요일,03,14:59:00,2023
0.01,29,03,2023,기타,산38-5,신양,합천,수곡,충남,29,수요일,03,14:45:00,2023
0.5,29,03,2023,기타,산8-6,대곡,의왕,입암,경남,29,수요일,03,13:22:00,2023
0.3,28,03,2023,쓰레기소각,산32-5,당산,철원,입암,충남,28,화요일,03,16:52:00,2023
0.1,28,03,2023,기타,산3-2,금암,철원,외산,충북,28,화요일,03,15:39:00,2023
0.04,28,03,2023,기타,1186.0,양향리,금산,산서,충남,28,화요일,03,15:12:00,2023
0.01,28,03,2023,입산자실화,산19,성산,진안,화남,경남,28,화요일,03,14:50:00,2023
0.02,28,03,2023,기타,산144,오전,홍천,신풍,경기,28,화요일,03,14:47:00,2023
0.01,28,03,2023,기타,산146,토성,양주,안흥,강원,28,화요일,03,14:45:00,2023
0.5,27,03,2023,기타,산387-1,자등,강화,신도안,강원,27,월요일,03,14:56:00,2023
0.03,27,03,2023,기타,산4-1,추정,보령,별내,충남,27,월요일,03,13:55:00,2023
1,27,03,2023,입산자실화,산124-4,덕천,포천,조안,전북,27,월요일,03,12:10:00,2023
1.2,26,03,2023,기타,산16-1,좌운,춘천,만안,강원,26,일요일,03,14:52:00,2023
0.04,26,03,2023,입산자실화,산54-1,방성,고양,왕산,경기,26,일요일,03,14:50:00,2023
22,27,03,2023,건축물화재비화,산92,동막,남양주,삼동,인천,26,일요일,03,14:45:00,2023
0.04,25,03,2023,농산부산물소각,산36-2,봉성,남양주,덕산,충남,25,토요일,03,16:49:00,2023
0.07,25,03,2023,담뱃불실화,산43-4,동교,여주,별내,경기,25,토요일,03,13:11:00,2023
0.2,24,03,2023,기타,산175,강촌,고성,보절,강원,24,금요일,03,18:12:00,2023
0.01,24,03,2023,담뱃불실화,371-15,원흥,원주,백수,경기,24,금요일,03,15:39:00,2023
0.03,24,03,2023,기타,산151,팔당,시흥,남,경기,24,금요일,03,12:10:00,2023
0.01,24,03,2023,기타,산94,지금,가평,백석,경기,24,금요일,03,11:01:00,2023
0.02,21,03,2023,기타,산3,당진,양구,진보,경기,21,화요일,03,17:49:00,2023
0.01,22,03,2023,기타,산1-2,진부,의령,백운,강원,21,화요일,03,16:26:00,2023
0.5,21,03,2023,농산부산물소각,산221,교항,영덕,물야,강원,21,화요일,03,15:17:00,2023
0.02,21,03,2023,담뱃불실화,53-6,과림,산청,일산동,경기,21,화요일,03,14:47:00,2023
5,21,03,2023,쓰레기소각,산147,적목,울주,고수,경기,21,화요일,03,14:36:00,2023
0.3,21,03,2023,기타,산6,건슬,청주 상당,지보,강원,21,화요일,03,14:27:00,2023
0.1,21,03,2023,기타,산71,죽전,광양,덕양구,경남,21,화요일,03,14:05:00,2023
0.5,21,03,2023,기타,산64,사암,안동,하빈,경북,21,화요일,03,13:52:00,2023
2,21,03,2023,기타,산114,제보,영광,덕양,경남,21,화요일,03,12:55:00,2023
1.2,21,03,2023,입산자실화,산49,삼정,파주,부북,울산,21,화요일,03,12:52:00,2023
1,21,03,2023,기타,산102,추정,양주,하청,충북,21,화요일,03,12:48:00,2023
0.3,21,03,2023,쓰레기소각,산180,황죽,기장,마령,전남,21,화요일,03,12:20:00,2023
10,21,03,2023,기타,산190,의일,공주,오부,경북,21,화요일,03,12:12:00,2023
0.1,21,03,2023,입산자실화,산90-1,야월,경산,서포,전남,21,화요일,03,11:27:00,2023
0.01,21,03,2023,기타,산53,법흥,영월,용방,경기,21,화요일,03,10:12:00,2023
0.5,18,03,2023,건축물화재비화,130-12,우고,진주,휴천,경기,17,금요일,03,21:21:00,2023
0.09,17,03,2023,쓰레기소각,산43,월평,상주,근남,부산,17,금요일,03,16:23:00,2023
0.15,17,03,2023,건축물화재비화,산57-21,신영,진도,청하,충남,17,금요일,03,05:02:00,2023
4,17,03,2023,기타,산22,아사,고흥,마천,경북,17,금요일,03,04:20:00,2023
0.05,16,03,2023,기타,산8-12,연당,서천,축동,강원,16,목요일,03,21:05:00,2023
0.5,16,03,2023,기타,산142,덕곡,부산진,진안,경남,16,목요일,03,19:13:00,2023
86,22,03,2023,기타,산84-1,혼평,임실,남지,경북,16,목요일,03,14:54:00,2023
0.3,16,03,2023,기타,산110,만길,계양,북,전남,16,목요일,03,12:18:00,2023
0.1,20,03,2023,기타,산167-14,양사,도봉,진영,전남,20,월요일,03,13:31:00,2023
0.03,20,03,2023,입산자실화,산91-8,흥림,양산,우곡,충남,20,월요일,03,13:23:00,2023
0.03,20,03,2023,기타,산42,범천,당진,진전,부산,20,월요일,03,12:50:00,2023
1,20,03,2023,기타,산110,오암,북,산내,전북,20,월요일,03,12:15:00,2023
0.01,20,03,2023,기타,산34-1,효성,파주,화도,인천,20,월요일,03,02:45:00,2023
0.02,12,03,2023,기타,산20-1,도봉,천안 동남,기린,서울,11,토요일,03,23:16:00,2023
2.96,12,03,2023,건축물화재비화,산9외1,선,공주,여량,경남,11,토요일,03,22:32:00,2023
1.3,12,03,2023,기타,177-62,난지도,남,송광,충남,11,토요일,03,20:56:00,2023
4,11,03,2023,쓰레기소각,산93,동림,남원,홍해,광주,11,토요일,03,15:36:00,2023
0.02,11,03,2023,기타,산146-16,능안,천안,유림,경기,11,토요일,03,15:35:00,2023
0.66,11,03,2023,기타,372-11,보성,안성,점동,충남,11,토요일,03,15:00:00,2023
0.4,11,03,2023,쓰레기소각,산34,운곡,하동,서신,충남,11,토요일,03,14:50:00,2023
1,11,03,2023,기타,산196-3,대명,괴산,주천,대구,11,토요일,03,14:35:00,2023
0.3,11,03,2023,쓰레기소각,산52,송기,홍천,칠성,전북,11,토요일,03,14:35:00,2023
0.1,11,03,2023,농산부산물소각,389-34,부대,천안,주왕산,충남,11,토요일,03,14:11:00,2023
0.15,11,03,2023,농산부산물소각,산31-1,대농,울진,동계,경기,11,토요일,03,14:11:00,2023
91,12,03,2023,입산자실화,산203-2,범왕,안동,군북,경남,11,토요일,03,13:24:00,2023
0.3,11,03,2023,기타,산29,지경,고성,신림,충북,11,토요일,03,12:22:00,2023
0.15,11,03,2023,기타,158-2,개야,청주 청원,남산,강원,11,토요일,03,12:03:00,2023
1.3,11,03,2023,농산부산물소각,590-1,신방,밀양,산내,충남,11,토요일,03,11:33:00,2023
0.8,06,03,2023,농산부산물소각,산79외2필지,쌍전,안성,진교,경북,06,월요일,03,17:06:00,2023
0.12,06,03,2023,입산자실화,산204,인계,충주,죽산,경북,06,월요일,03,16:49:00,2023
0.01,06,03,2023,기타,58-4,향목,안성,현곡,강원,06,월요일,03,16:29:00,2023
0.3,06,03,2023,기타,산98-1,가좌,장성,적상,충북,06,월요일,03,16:19:00,2023
0.2,06,03,2023,기타,산13-1,활성,횡성,창녕,경남,06,월요일,03,15:23:00,2023
0.5,06,03,2023,기타,산28-1,오두,고흥,임계,경기,06,월요일,03,15:18:00,2023
0.02,06,03,2023,쓰레기소각,산74-1,삼청,임실,송라,충북,06,월요일,03,15:12:00,2023
2,06,03,2023,쓰레기소각,산12-6외1필지,용설,무안,정곡,경기,06,월요일,03,14:57:00,2023
0.5,06,03,2023,기타,444-1,산동,청송,하장,전남,06,월요일,03,13:56:00,2023
0.15,06,03,2023,쓰레기소각,산129,석화,합천,갈말,강원,06,월요일,03,13:08:00,2023
0.2,06,03,2023,담뱃불실화,산99-1,풍남,성주,고대,전남,06,월요일,03,13:00:00,2023
0.4,06,03,2023,기타,산4,금성,보성,우성,전북,06,월요일,03,12:40:00,2023
0.26,06,03,2023,농산부산물소각,583.0,청용,시흥,소초,전남,06,월요일,03,11:51:00,2023
3,06,03,2023,농산부산물소각,산3,송강,강화,불갑,경북,06,월요일,03,10:18:00,2023
0.02,06,03,2023,기타,산10,치인,군산,상북,경남,06,월요일,03,09:56:00,2023
0.16,06,03,2023,건축물화재비화,547.0,문방,임실,정안,경북,06,월요일,03,00:17:00,2023
0.01,26,02,2023,기타,산5,장양,영천,설악,전남,26,일요일,02,20:31:00,2023
0.04,26,02,2023,기타,산30-6,미산,안성,갑천,경기,26,일요일,02,15:30:00,2023
0.6,26,02,2023,농산부산물소각,산132,양오,광산,팔탄,인천,26,일요일,02,14:41:00,2023
0.1,26,02,2023,농산부산물소각,산4,금성,순천,인월,전북,26,일요일,02,14:23:00,2023
0.5,26,02,2023,농산부산물소각,산69,갈담,단양,송동,전북,26,일요일,02,14:20:00,2023
2,26,02,2023,기타,산220,죽곡,남양주,음봉,경북,26,일요일,02,14:10:00,2023
0.1,26,02,2023,쓰레기소각,산76-5,현곡,화순,해리,경기,26,일요일,02,14:05:00,2023
0.02,26,02,2023,기타,산75-1,장수,임실,집현,광주,26,일요일,02,14:02:00,2023
0.03,26,02,2023,농산부산물소각,산86-19,동산,홍천,두촌,전남,26,일요일,02,13:33:00,2023
0.1,26,02,2023,기타,산35,황정,군산,동안,충북,26,일요일,02,13:27:00,2023
0.33,26,02,2023,기타,산27-5,답내,금남,영춘,경기,26,일요일,02,13:18:00,2023
0.5,26,02,2023,쓰레기소각,산60-2,구례,고흥,가평,전남,26,일요일,02,13:00:00,2023
0.2,26,02,2023,기타,346.0,삼계,고창,상전면,전북,26,일요일,02,12:50:00,2023
0.2,26,02,2023,건축물화재비화,산117,청량,동,봉성,강원,26,일요일,02,11:44:00,2023
0.02,26,02,2023,입산자실화,산67,내흥,평창,광양,전북,26,일요일,02,11:40:00,2023
0.03,26,02,2023,기타,107-2,대박,연천,도화,세종,26,일요일,02,11:26:00,2023
0.05,06,01,2023,기타,산171,양주,장흥,동남,전남,06,금요일,01,15:20:00,2023
0.03,06,01,2023,입산자실화,산9,상평,서,안흥,전북,06,금요일,01,12:45:00,2023
0.01,09,04,2023,입산자실화,산120-1,동부,고흥,점동,울산,09,일요일,04,17:16:00,2023
0.5,09,04,2023,입산자실화,산63-1,창,진주,광탄,강원,09,일요일,04,14:15:00,2023
0.01,09,04,2023,기타,산190,대광,영양,남정,경기,09,일요일,04,12:12:00,2023
0.02,08,02,2023,입산자실화,산105-2,반월,영양,대관령,전남,08,수요일,02,16:51:00,2023
0.15,08,02,2023,입산자실화,산78-1,흑석,부여,위도,대전,08,수요일,02,14:52:00,2023
0.3,08,02,2023,쓰레기소각,572.0,여호,장수,보은,전남,08,수요일,02,13:44:00,2023
0.5,08,02,2023,기타,산97,사곡,동,현산,경남,08,수요일,02,13:17:00,2023
0.05,05,07,2022,기타,산106,산해,영천,홍해,경북,05,화요일,07,16:56:00,2022
0.3,02,07,2022,입산자실화,산202-1,산해,공주,파평,경북,02,토요일,07,14:23:00,2022
0.01,21,06,2022,기타,산42-23,회성,횡성,서종,충남,21,화요일,06,16:19:00,2022
0.02,21,06,2022,기타,산8,사상,오산,사리,전북,21,화요일,06,14:18:00,2022
0.33,21,06,2022,담뱃불실화,산193,진인,계룡,가회,대구,21,화요일,06,13:54:00,2022
0.2,21,06,2022,담뱃불실화,산109,안천,남양주,옥천,경북,21,화요일,06,13:42:00,2022
0.01,21,06,2022,기타,산79,청흥,남양주,부산,충남,21,화요일,06,09:23:00,2022
0.01,20,06,2022,기타,산10,가천,안양,회천,강원,20,월요일,06,13:25:00,2022
0.01,14,06,2022,기타,산19-3,양산,강릉,청성,경기,14,화요일,06,10:45:00,2022
0.01,13,06,2022,입산자실화,4-1,용동,울주,부석,충남,13,월요일,06,05:58:00,2022
0.01,05,06,2022,입산자실화,산12,광전,제천,수륜,경기,05,일요일,06,08:42:00,2022
0.1,05,06,2022,입산자실화,산38,시우,관악,서종,경기,05,일요일,06,06:47:00,2022
0.01,04,06,2022,담뱃불실화,산11-2,석수,서,명호,경기,04,토요일,06,14:20:00,2022
0.06,04,06,2022,기타,산214-1,고단,남양주,옥천,강원,04,토요일,06,11:16:00,2022
0.2,03,06,2022,입산자실화,산268,작동,남원,진산,울산,03,금요일,06,16:54:00,2022
0.1,03,06,2022,건축물화재비화,산1-1,성암,영광,적성,충북,03,금요일,06,16:24:00,2022
0.01,03,06,2022,입산자실화,산58-5,신림,정선,겸백,서울,03,금요일,06,15:45:00,2022
